"","X","Borne.de.sortie","Date.de.sortie","Date.de.retour","Borne.de.retour"
"7288",7288,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:52:25","03/10/2016 18:57:44","100_AVDA. BLASCO IBAÑEZ 9"
"7289",7289,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:51:24","03/10/2016 20:58:49","079_AVDA. ARAGON II"
"7290",7290,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:09:39","03/10/2016 21:26:52","163_PASEO NEPTUNO"
"7291",7291,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:24:19","03/10/2016 21:43:12","096_AVDA. BLASCO IBAÑEZ 6"
"7292",7292,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:37:57","03/10/2016 21:45:08","90_AVDA. BLASCO IBAÑEZ "
"7293",7293,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:48:23","03/10/2016 22:06:19","075_CAMPOAMOR I"
"7294",7294,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 22:40:57","03/10/2016 22:45:37","076_CAMPOAMOR II"
"7295",7295,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 23:12:09","03/10/2016 23:19:06","118_C/ DR. GOMEZ FERRER"
"7296",7296,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 01:11:27","03/10/2016 01:30:38","119_C/ JAIME ROIG"
"7297",7297,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:46:23","03/10/2016 07:52:41","95_AVDA. DE LOS NARANJOS"
"7298",7298,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 08:30:13","03/10/2016 08:45:03","164_PAVIA 1"
"7299",7299,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 08:53:31","03/10/2016 08:58:24","105_AVDA. DE LOS NARANJOS"
"7300",7300,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:11:35","03/10/2016 09:17:51","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7301",7301,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:21:57","03/10/2016 11:37:59","164_PAVIA 1"
"7302",7302,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:37:48","03/10/2016 11:53:34","131_C/ ALBORAYA"
"7303",7303,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:38:23","03/10/2016 12:46:16","87_AVDA BLASCO IBAÑEZ 2"
"7304",7304,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 13:16:14","03/10/2016 13:26:45","111_COLEGIO MAYOR"
"7305",7305,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:50:13","03/10/2016 15:00:20","113_ETS CAMINOS"
"7306",7306,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:50:53","03/10/2016 18:58:54","113_ETS CAMINOS"
"7307",7307,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:02:47","03/10/2016 20:18:34","085_AVDA_BLASCO IBAÑEZ 1"
"7308",7308,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:54:05","03/10/2016 21:13:01","38_AVDA. PERIS Y VALERO"
"7309",7309,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:11:54","03/10/2016 21:25:07","068_AVDA. DEL PUERTO IV"
"7310",7310,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:43:50","03/10/2016 21:52:51","118_C/ DR. GOMEZ FERRER"
"7311",7311,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:48:48","03/10/2016 22:05:56","075_CAMPOAMOR I"
"7312",7312,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:54:43","03/10/2016 08:04:12","117_PRIMADO REIG"
"7313",7313,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:22:36","03/10/2016 11:37:47","164_PAVIA 1"
"7314",7314,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:37:16","03/10/2016 11:41:54","150_DR. MANUEL CANDELA"
"7315",7315,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:27:13","03/10/2016 12:28:24","096_AVDA. BLASCO IBAÑEZ 6"
"7316",7316,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:37:21","03/10/2016 12:37:53","096_AVDA. BLASCO IBAÑEZ 6"
"7317",7317,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:39:02","03/10/2016 12:39:53","096_AVDA. BLASCO IBAÑEZ 6"
"7318",7318,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:57:41","03/10/2016 13:05:40","102_AVDA.RAMON LLUL"
"7319",7319,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:51:19","03/10/2016 14:57:32","107_C/ CAMPILLO ALTO BUEY"
"7320",7320,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:18:40","03/10/2016 15:24:01","105_AVDA. DE LOS NARANJOS"
"7321",7321,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:50:53","03/10/2016 15:56:23","112_AVDA. DE LOS NARANJOS"
"7322",7322,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 16:53:30","03/10/2016 17:38:16","90_AVDA. BLASCO IBAÑEZ "
"7323",7323,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:13:38","03/10/2016 21:39:06","135_AVDA. CONSTITUCIÓN"
"7324",7324,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:49:21","03/10/2016 22:00:20","159_FRANCISCO CUBELLS"
"7325",7325,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 22:49:18","03/10/2016 22:57:45","108_ LUIS PEIXO"
"7326",7326,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 01:44:01","03/10/2016 01:54:20","115_C/ DR. VICENTE ZARAGOZA"
"7327",7327,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:43:02","03/10/2016 07:50:57","113_ETS CAMINOS"
"7328",7328,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 08:29:43","03/10/2016 08:37:42","057_CALLE PINTOR MONLEON"
"7329",7329,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 08:38:20","03/10/2016 08:48:41","83_PZA. DE LA LEGIÓN ESPAÑOLA"
"7330",7330,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 08:58:37","03/10/2016 09:10:53","105_AVDA. DE LOS NARANJOS"
"7331",7331,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:40:43","03/10/2016 09:48:50","113_ETS CAMINOS"
"7332",7332,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 10:28:20","03/10/2016 10:33:54","105_AVDA. DE LOS NARANJOS"
"7333",7333,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:20:49","03/10/2016 11:30:25","117_PRIMADO REIG"
"7334",7334,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:47:13","03/10/2016 11:55:54","113_ETS CAMINOS"
"7335",7335,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:51:44","03/10/2016 11:58:58","113_ETS CAMINOS"
"7336",7336,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:12:37","03/10/2016 12:13:09","096_AVDA. BLASCO IBAÑEZ 6"
"7337",7337,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:58:20","03/10/2016 13:05:35","102_AVDA.RAMON LLUL"
"7338",7338,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:49:46","03/10/2016 14:59:30","111_COLEGIO MAYOR"
"7339",7339,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 16:11:33","03/10/2016 16:17:12","105_AVDA. DE LOS NARANJOS"
"7340",7340,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 17:18:10","03/10/2016 17:26:55","160_JOSE MARIA DE HARO"
"7341",7341,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:13:09","03/10/2016 21:27:27","37_AVDA. PERIS Y VALERO"
"7342",7342,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:43:18","03/10/2016 21:50:46","088_AVDA. BLASCO IBAÑEZ 3"
"7343",7343,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 22:00:05","03/10/2016 22:05:00","112_AVDA. DE LOS NARANJOS"
"7344",7344,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 22:20:27","03/10/2016 22:26:08","097_AVDA. BLASCO IBAÑEZ 7"
"7345",7345,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:45:41","03/10/2016 07:52:20","100_AVDA. BLASCO IBAÑEZ 9"
"7346",7346,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:06:38","03/10/2016 09:13:23","073_JERONIMO MONSORIU"
"7347",7347,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:10:38","03/10/2016 11:19:53","078_AVDA. ARAGÓN I"
"7348",7348,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:37:42","03/10/2016 12:41:35","098_SANTOS JUSTO Y PASTOR"
"7349",7349,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:49:53","03/10/2016 12:55:00","063_AVDA. DEL PUERTO I"
"7350",7350,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 13:32:07","03/10/2016 13:39:05","100_AVDA. BLASCO IBAÑEZ 9"
"7351",7351,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 13:53:08","03/10/2016 14:03:07","102_AVDA.RAMON LLUL"
"7352",7352,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:49:09","03/10/2016 14:58:28","073_JERONIMO MONSORIU"
"7353",7353,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:27:57","03/10/2016 15:34:29","105_AVDA. DE LOS NARANJOS"
"7354",7354,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 19:11:23","03/10/2016 19:31:53","41_AVDA. GRAL. URRUTIA"
"7355",7355,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:16:52","03/10/2016 20:24:23","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7356",7356,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:08:52","03/10/2016 21:14:20","074_PLAZA SAN FELIPE NERI"
"7357",7357,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 22:00:58","03/10/2016 22:14:30","168_AVDA. MALVARROSA"
"7358",7358,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 22:32:04","03/10/2016 22:42:24","47_AVDA. AUTOPISTA DEL SALER"
"7359",7359,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:39:58","03/10/2016 07:46:13","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7360",7360,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:50:48","03/10/2016 07:57:36","088_AVDA. BLASCO IBAÑEZ 3"
"7361",7361,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 10:42:43","03/10/2016 10:55:26","87_AVDA BLASCO IBAÑEZ 2"
"7362",7362,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:09:46","03/10/2016 11:16:04","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7363",7363,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:49:38","03/10/2016 12:08:50","169_PAVIA 4"
"7364",7364,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 13:06:22","03/10/2016 13:11:42","099_AVDA. BLASCO IBAÑEZ 8"
"7365",7365,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:26:46","03/10/2016 14:36:53","080_AMADEO SAVOIA"
"7366",7366,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:34:53","03/10/2016 14:42:41","90_AVDA. BLASCO IBAÑEZ "
"7367",7367,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:48:36","03/10/2016 14:57:00","111_COLEGIO MAYOR"
"7368",7368,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:22:09","03/10/2016 15:28:06","074_PLAZA SAN FELIPE NERI"
"7369",7369,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:34:22","03/10/2016 15:39:56","112_AVDA. DE LOS NARANJOS"
"7370",7370,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 16:45:03","03/10/2016 16:51:33","105_AVDA. DE LOS NARANJOS"
"7371",7371,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:51:38","03/10/2016 18:57:47","112_AVDA. DE LOS NARANJOS"
"7372",7372,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:01:13","03/10/2016 20:16:08","017_ESTACION RENFE I"
"7373",7373,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:48:27","03/10/2016 20:53:37","150_DR. MANUEL CANDELA"
"7374",7374,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:06:16","03/10/2016 21:14:12","150_DR. MANUEL CANDELA"
"7375",7375,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:24:36","03/10/2016 21:37:58","097_AVDA. BLASCO IBAÑEZ 7"
"7376",7376,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 23:26:57","03/10/2016 23:39:04","101_AVDA. BLASCO IBAÑEZ 10"
"7377",7377,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 00:37:54","03/10/2016 00:48:14","065_AVDA. DEL PUERTO III"
"7378",7378,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:45:00","03/10/2016 07:52:01","89_AVDA. BLASCO IBAÑEZ"
"7379",7379,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 08:19:09","03/10/2016 08:27:09","95_AVDA. DE LOS NARANJOS"
"7380",7380,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:17:21","03/10/2016 11:22:49","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7381",7381,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:42:01","03/10/2016 12:00:15","097_AVDA. BLASCO IBAÑEZ 7"
"7382",7382,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:14:31","03/10/2016 12:22:26","90_AVDA. BLASCO IBAÑEZ "
"7383",7383,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:33:51","03/10/2016 12:48:44","77_C/ MOLINELL"
"7384",7384,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:49:14","03/10/2016 13:03:59","272_VICENTE_LA_RODA_C_INGENIERO_FAUSTO_ELIO"
"7385",7385,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 13:36:16","03/10/2016 13:39:19","094_AVDA. BLASCO IBAÑEZ 5"
"7386",7386,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:02:40","03/10/2016 14:12:23","072_RAMIRO MAETZU"
"7387",7387,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:17:22","03/10/2016 14:30:08","068_AVDA. DEL PUERTO IV"
"7388",7388,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:35:26","03/10/2016 14:42:41","90_AVDA. BLASCO IBAÑEZ "
"7389",7389,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:41:41","03/10/2016 14:51:01","113_ETS CAMINOS"
"7390",7390,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:06:12","03/10/2016 15:19:17","38_AVDA. PERIS Y VALERO"
"7391",7391,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:14:16","03/10/2016 15:32:41","164_PAVIA 1"
"7392",7392,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:21:45","03/10/2016 15:28:08","074_PLAZA SAN FELIPE NERI"
"7393",7393,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:33:49","03/10/2016 15:40:24","90_AVDA. BLASCO IBAÑEZ "
"7394",7394,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 16:12:19","03/10/2016 16:17:46","092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ"
"7395",7395,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 16:24:40","03/10/2016 16:33:45","90_AVDA. BLASCO IBAÑEZ "
"7396",7396,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:29:01","03/10/2016 18:34:52","079_AVDA. ARAGON II"
"7397",7397,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:30:11","03/10/2016 18:37:28","106_AVDA. DE LOS NARANJOS"
"7398",7398,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 19:50:35","03/10/2016 19:58:11","065_AVDA. DEL PUERTO III"
"7399",7399,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:40:20","03/10/2016 20:49:34","261_PZA_XUQUER_ESQ_VINALOPO"
"7400",7400,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:05:30","03/10/2016 21:25:55","147_CALLE_PIE_DE_LA_CRUZ_CALLE_DE_LA_REJA"
"7401",7401,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 22:56:48","03/10/2016 23:16:24","45_AVDA. GRAL. URRUTIA"
"7402",7402,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 23:11:39","03/10/2016 23:19:05","118_C/ DR. GOMEZ FERRER"
"7403",7403,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 23:52:13","03/10/2016 23:57:30","100_AVDA. BLASCO IBAÑEZ 9"
"7404",7404,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:47:20","03/10/2016 08:03:41","007_PZA_DEL_MERCADO_TAULA_DE_CANVIS"
"7405",7405,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:13:30","03/10/2016 09:26:57","130_C/ CONVENTO CARMELITAS"
"7406",7406,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:19:55","03/10/2016 09:26:21","099_AVDA. BLASCO IBAÑEZ 8"
"7407",7407,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 10:36:03","03/10/2016 10:47:12","87_AVDA BLASCO IBAÑEZ 2"
"7408",7408,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 11:02:53","03/10/2016 11:08:49","105_AVDA. DE LOS NARANJOS"
"7409",7409,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 13:01:07","03/10/2016 13:12:56","100_AVDA. BLASCO IBAÑEZ 9"
"7410",7410,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:48:04","03/10/2016 14:57:15","102_AVDA.RAMON LLUL"
"7411",7411,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:56:50","03/10/2016 15:17:30","182_AVDA_AUSIAS_MARCH"
"7412",7412,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 15:27:12","03/10/2016 15:38:39","079_AVDA. ARAGON II"
"7413",7413,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 17:03:21","03/10/2016 17:10:10","105_AVDA. DE LOS NARANJOS"
"7414",7414,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:29:34","03/10/2016 18:37:29","106_AVDA. DE LOS NARANJOS"
"7415",7415,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 19:03:19","03/10/2016 19:27:16","019_JUAN_LLORENS"
"7416",7416,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 19:44:00","03/10/2016 19:57:49","102_AVDA.RAMON LLUL"
"7417",7417,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:38:15","03/10/2016 20:53:54","149_AVDA. PERIS Y VALERO"
"7418",7418,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:58:28","03/10/2016 21:15:21","118_C/ DR. GOMEZ FERRER"
"7419",7419,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 01:11:55","03/10/2016 01:29:36","119_C/ JAIME ROIG"
"7420",7420,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 07:40:49","03/10/2016 08:01:28","001_GUILLEN_DE_CASTRO"
"7421",7421,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 09:14:20","03/10/2016 09:19:14","105_AVDA. DE LOS NARANJOS"
"7422",7422,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 12:29:53","03/10/2016 12:41:51","028_NAVARRO REVERTE"
"7423",7423,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:24:55","03/10/2016 14:39:14","150_DR. MANUEL CANDELA"
"7424",7424,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 14:47:47","03/10/2016 15:00:20","116_C/ DR. VICENTE ZARAGOZA"
"7425",7425,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:01:25","03/10/2016 18:07:46","074_PLAZA SAN FELIPE NERI"
"7426",7426,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:18:59","03/10/2016 18:23:36","112_AVDA. DE LOS NARANJOS"
"7427",7427,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 18:30:43","03/10/2016 18:37:34","106_AVDA. DE LOS NARANJOS"
"7428",7428,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 19:02:11","03/10/2016 19:17:43","165_PAVIA 2"
"7429",7429,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 19:10:28","03/10/2016 19:27:40","018_COLON II"
"7430",7430,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 19:47:31","03/10/2016 19:52:55","060_AVDA.BALEARES II"
"7431",7431,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:12:17","03/10/2016 20:21:49","160_JOSE MARIA DE HARO"
"7432",7432,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:36:41","03/10/2016 20:43:52","059_AVDA. DE BALEARES I"
"7433",7433,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:46:35","03/10/2016 20:50:34","075_CAMPOAMOR I"
"7434",7434,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 20:52:19","03/10/2016 21:04:04","081_DOCTOR FORNOS"
"7435",7435,"096_AVDA. BLASCO IBAÑEZ 6","03/10/2016 21:02:46","03/10/2016 21:26:24","018_COLON II"
